job_number,address,address_house,address_street,latitude,longitude,ycoord,xcoord,bin,bbl,boro,block,lot,dob_type,job_type,job_description,dcp_occ_category,occ_init,occ_prop,dob_occ_init,dob_occ_prop,dcp_status,dob_status,status_date,status_a,status_a_year,status_d,status_p,status_q,status_q_year,status_r,status_x,dob_bldg_type,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_net_complete,units_net_incomplete,earliest_effectivedate,latest_effectivedate,latest_certtype,latest_cofo,u_2007_existtotal,u_2008_existtotal,u_2009_existtotal,u_2010pre_existtotal,u_2010post_existtotal,u_2011_existtotal,u_2012_existtotal,u_2013_existtotal,u_2014_existtotal,u_2015_existtotal,u_2016_existtotal,u_2017_existtotal,u_2018_existtotal,unit_change_2007,unit_change_2008,unit_change_2009,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,u_2007_netcomplete,u_2008_netcomplete,u_2009_netcomplete,u_2010pre_netcomplete,u_2010post_netcomplete,u_2011_netcomplete,u_2012_netcomplete,u_2013_netcomplete,u_2014_netcomplete,u_2015_netcomplete,u_2016_netcomplete,u_2017_netcomplete,u_2018_netcomplete,geo_cd,geo_ntacode,geo_ntaname,geo_censusblock,geo_csd,f_pfirms2015_100yr,x_dcpedited,x_mixeduse,x_dup_flag,x_dup_id,x_dup_maxstatusdate,x_dup_maxcofodate,x_geomsource,x_occsource,x_inactive,x_outlier,x_withdrawal,geom
110000141,440 EAST 29 STREET,440,EAST 29 STREET,40.739999,-73.974249,,,1087989,1009620009,MANHATTAN,00962,00099,NB,New Building,,Other,Empty Lot,Assembly: Other,,F-4,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,05/18/2010 12:00:00 AM,10/23/2007,2007,10/23/2007,12/05/2008,2009-01-08,1-08,06/05/2009,,OTHERS,0,1,0,0,0,,,,,2010-09-08,2018-05-15,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,0,
103112301,511 WEST 46 STREET,511,WEST 46 STREET,40.762440,-73.994195,,,1088731,1010750002,MANHATTAN,01075,00023,NB,New Building,,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,06/21/2017 12:00:00 AM,03/01/2002,2002,03/04/2002,11/04/2005,2003-05-07,5-07,06/12/2003,06/21/2017,OTHERS,0,7,0,0,0,81,81,81,0,2007-02-21,2017-06-21,C- CO,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
103112310,516 WEST 47 STREET,516,WEST 47 STREET,40.763027,-73.993704,,,1088731,1010750002,MANHATTAN,01075,00023,NB,New Building,,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,06/21/2017 12:00:00 AM,03/01/2002,2002,03/04/2002,05/02/2003,2003-05-09,5-09,06/12/2003,06/21/2017,OTHERS,0,7,0,0,0,68,68,68,0,2007-02-21,2017-06-21,C- CO,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
103728628,427 EAST 69 STREET,427,EAST 69 STREET,40.765558,-73.956651,,,1088793,1014640001,MANHATTAN,01464,00016,NB,New Building,,Other,Empty Lot,"Industrial, Storage & Utilities",,B-1,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,07/02/2007 12:00:00 AM,03/11/2004,2004,03/12/2004,03/16/2004,2004-03-25,3-25,08/30/2006,,OTHERS,0,1,0,0,0,,,,,2007-02-06,2009-02-09,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,0,
110098787,413 EAST 69 STREET,413,EAST 69 STREET,40.765651,-73.956875,,,1088793,1014640000,MANHATTAN,01464,00008,NB,New Building,,Other,Empty Lot,"Industrial, Storage & Utilities",,D-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,10/09/2013 12:00:00 AM,02/14/2008,2008,02/14/2008,07/28/2009,2009-07-29,7-29,12/22/2010,,OTHERS,0,18,0,0,0,,,,,2014-01-10,2018-05-01,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,0,
120325594,330 WEST 39TH STREET,330,WEST 39TH STREET,40.755759,-73.992218,,,1088826,1007620006,MANHATTAN,00762,00060,NB,New Building,NEW 25 STORY RESIDENTIAL BUILDING,Residential,Empty Lot,Residential: Multi-Family,,R-2,Complete,SIGNED OFF,04/19/2016 12:00:00 AM,04/20/2010,2010,04/23/2010,12/16/2010,2010-11-24,1-24,02/15/2011,04/19/2016,OTHERS,0,25,0,206725,0,199,199,199,0,2012-10-26,2016-04-19,C- CO,199,0,0,0,0,0,0,184,199,199,199,199,199,199,0,0,0,0,0,0,184,15,0,0,0,0,0,-199,-199,-199,-199,-199,-199,-15,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
120463202,329 WEST 38TH STREET,329,WEST 38TH STREET,40.755136,-73.992619,,,1088826,1007620006,MANHATTAN,00762,00060,NB,New Building,NEW SIX-STORY BUILDING,Residential,Empty Lot,Residential: Multi-Family,,R-2,Complete,SIGNED OFF,04/06/2016 12:00:00 AM,09/01/2010,2010,09/10/2010,01/04/2011,2011-01-07,1-07,02/15/2011,04/06/2016,OTHERS,0,6,0,10810,0,6,6,6,0,2015-02-26,2016-04-06,C- CO,6,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,0,0,0,,,,,,,,,,,,,,,false,,0,
103309046,20 RANDALLS ISLAND,20,RANDALLS ISLAND,,,,,1811452,1018190020,MANHATTAN,01819,00203,NB,New Building,,Other,Empty Lot,Leisure & Entertainment,,F-2,Complete,SIGNED OFF,01/04/2007 12:00:00 AM,11/07/2002,2002,01/07/2003,09/21/2004,2003-05-08,5-08,07/22/2003,01/04/2007,OTHERS,0,2,0,0,0,,,,,2007-01-04,2007-01-04,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,
104718815,20 RANDALLS ISLAND,20,RANDALLS ISLAND,,,,,1811452,1018190020,MANHATTAN,01819,00203,NB,New Building,,Other,Empty Lot,"Industrial, Storage & Utilities",,D-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,09/06/2013 12:00:00 AM,03/28/2007,2007,03/28/2007,08/24/2007,2008-07-25,7-25,09/06/2013,,OTHERS,0,1,0,0,0,,,,,2015-05-28,2015-05-28,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,0,
201082559,100 WEST 169 STREET,100,WEST 169 STREET,40.839637,-73.923462,,,2003307,2025170002,BRONX,02517,00023,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,01/25/2008 12:00:00 AM,10/13/2006,2006,10/19/2006,11/02/2006,2006-11-14,1-14,01/23/2007,01/25/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2007-08-07,2008-01-25,C- CO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201082568,98 WEST 169 STREET,98,WEST 169 STREET,40.839610,-73.923397,,,2003307,2025170002,BRONX,02517,00024,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,01/25/2008 12:00:00 AM,10/13/2006,2006,10/19/2006,11/02/2006,2006-11-14,1-14,01/23/2007,01/25/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2007-08-07,2008-01-25,C- CO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201100334,131 WEST 169 STREET,131,WEST 169 STREET,40.840022,-73.924391,,,2003350,2025210007,BRONX,02521,00079,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,03/28/2008 12:00:00 AM,01/05/2007,2007,01/09/2007,02/05/2007,2007-05-07,5-07,07/13/2007,03/28/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2008-02-08,2008-03-28,C- CO,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201100352,129 WEST 169 STREET,129,WEST 169 STREET,40.840003,-73.924329,,,2003350,2025210007,BRONX,02521,00078,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,03/28/2008 12:00:00 AM,01/05/2007,2007,01/09/2007,02/05/2007,2007-05-02,5-02,07/13/2007,03/28/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2008-02-08,2008-03-28,C- CO,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201100361,133 WEST 169 STREET,133,WEST 169 STREET,40.840039,-73.924452,,,2003350,2025210008,BRONX,02521,00081,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,03/28/2008 12:00:00 AM,01/05/2007,2007,01/09/2007,02/05/2007,2007-05-07,5-07,07/13/2007,03/28/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2008-02-08,2008-03-28,C- CO,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201110154,1236 PROSPECT AVENUE,1236,PROSPECT AVENUE,40.827012,-73.898556,,,2005302,2026930012,BRONX,02693,00124,NB,New Building,SEE COMMENTS #24,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,07/14/2009 12:00:00 AM,03/01/2007,2007,03/05/2007,06/04/2007,2007-09-14,9-14,04/03/2008,07/14/2009,1-2-3 FAMILY,0,3,0,3188,0,3,3,3,0,2009-03-13,2009-07-14,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201110163,1238 PROSPECT AVENUE,1238,PROSPECT AVENUE,40.827020,-73.898552,,,2005302,2026930012,BRONX,02693,00125,NB,New Building,SEE COMMENTS #24,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,06/30/2009 12:00:00 AM,03/01/2007,2007,03/05/2007,06/05/2007,2007-09-14,9-14,04/03/2008,06/30/2009,1-2-3 FAMILY,0,3,0,3206,0,3,3,3,0,2009-03-31,2009-06-30,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201110172,1240 PROSPECT AVENUE,1240,PROSPECT AVENUE,40.827025,-73.898548,,,2005302,2026930012,BRONX,02693,00126,NB,New Building,SEE COMMENTS #24,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,06/30/2009 12:00:00 AM,03/01/2007,2007,03/05/2007,06/05/2007,2007-09-14,9-14,04/03/2008,06/30/2009,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2009-03-31,2009-06-30,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201110181,1242 PROSPECT AVENUE,1242,PROSPECT AVENUE,40.827034,-73.898548,,,2005302,2026930012,BRONX,02693,00127,NB,New Building,SEE COMMENTS #24,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,07/01/2009 12:00:00 AM,03/01/2007,2007,03/05/2007,06/05/2007,2007-09-14,9-14,04/03/2008,07/01/2009,1-2-3 FAMILY,0,3,0,3206,0,3,3,3,0,2009-03-31,2009-07-01,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201110190,852 HOME STREET,852,HOME STREET,40.827925,-73.897882,,,2005302,2026930012,BRONX,02693,00129,NB,New Building,SEE COMMENTS # 24,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,06/30/2009 12:00:00 AM,03/01/2007,2007,03/05/2007,06/04/2007,2007-09-14,9-14,04/03/2008,06/30/2009,1-2-3 FAMILY,0,3,0,3200,0,3,3,3,0,2009-03-31,2009-06-30,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
200677053,936 SOUTHERN BOULEVARD,936,SOUTHERN BOULEVARD,40.820333,-73.892066,,,2005885,2027350001,BRONX,02735,00017,NB,New Building,,Other,Empty Lot,Retail,,C,Complete,SIGNED OFF,04/23/2008 12:00:00 AM,06/20/2001,2001,06/21/2001,09/24/2001,2001-10-26,0-26,09/04/2003,04/23/2008,OTHERS,0,1,0,0,0,,,,,2008-04-23,2008-04-23,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,0,
200679729,938 SOUTHERN BOULEVARD,938,SOUTHERN BOULEVARD,40.820377,-73.892019,,,2005885,2027350001,BRONX,02735,00019,NB,New Building,,Other,Empty Lot,Retail,,C,Complete,SIGNED OFF,04/23/2008 12:00:00 AM,07/13/2001,2001,07/13/2001,09/24/2001,2001-10-30,0-30,07/10/2003,04/23/2008,OTHERS,0,1,0,0,0,,,,,2008-04-23,2008-04-23,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,1,
201045154,53 WEST 192 STREET,53,WEST 192 STREET,40.866455,-73.900817,,,2014689,2032150005,BRONX,03215,00058,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,10/24/2007 12:00:00 AM,03/31/2006,2006,05/15/2006,05/15/2006,2006-05-22,5-22,06/01/2006,10/24/2007,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2007-01-16,2007-10-24,C- CO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
201045163,55 WEST 192 STREET,55,WEST 192 STREET,40.866485,-73.900889,,,2014689,2032150005,BRONX,03215,00059,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,01/23/2008 12:00:00 AM,03/31/2006,2006,05/15/2006,05/15/2006,2006-05-22,5-22,06/01/2006,01/23/2008,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2007-01-16,2008-01-23,C- CO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
200997181,6 EAST 236 STREET,6,EAST 236 STREET,40.897547,-73.875519,,,2018749,2033640002,BRONX,03364,00025,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,02/20/2009 12:00:00 AM,09/16/2005,2005,09/16/2005,09/16/2005,2005-09-21,9-21,11/04/2005,02/20/2009,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2009-02-20,2009-02-20,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
200997190,8 EAST 236 STREET,8,EAST 236 STREET,40.897547,-73.875482,,,2018749,2033640012,BRONX,03364,00125,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,02/20/2009 12:00:00 AM,09/16/2005,2005,09/16/2005,09/16/2005,2005-09-21,9-21,11/04/2005,02/20/2009,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2009-02-20,2009-02-20,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
200997207,10 EAST 236 STREET,10,EAST 236 STREET,40.897547,-73.875446,,,2018749,2033640012,BRONX,03364,00126,NB,New Building,,Other,Empty Lot,,,J-0,Complete,SIGNED OFF,02/20/2009 12:00:00 AM,09/16/2005,2005,09/16/2005,09/16/2005,2005-09-21,9-21,11/04/2005,02/20/2009,1-2-3 FAMILY,0,3,0,0,0,3,3,3,0,2009-02-20,2009-02-20,C- CO,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
220198275,1776 EASTCHESTER ROAD,1776,EASTCHESTER ROAD,40.849789,-73.843478,,,2047127,2042260001,BRONX,04226,00016,NB,New Building,"IT IS PROPOSED TO CONSTRUCT A NEW 3 STORY ACCESSORY PARKING GARAGE 124,209 SF IN CONJUNCTION WITH ALT I APPLICATION 220178787 AS SHOWN ON PLANS.",Other,Empty Lot,"Industrial, Storage & Utilities",,S-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,03/26/2013 12:00:00 AM,07/18/2012,2012,07/18/2012,03/12/2013,2013-03-26,3-26,03/26/2013,,OTHERS,0,3,0,1686791,0,,,,,2014-07-09,2018-05-03,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,0,
220243074,1776 EASTCHESTER ROAD,1776,EASTCHESTER ROAD,40.849789,-73.843478,,,2047127,2042260001,BRONX,04226,00016,NB,New Building,IT IS PROPOSED TO CONSTRUCT A NEW 5 STORY + CELLAR PARKING GARAGE 183094SQ FT IN CONJUNCTION WITH 220178787,Other,Empty Lot,"Industrial, Storage & Utilities",,S-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,07/25/2013 12:00:00 AM,12/27/2012,2012,12/27/2012,06/12/2013,2013-07-25,7-25,07/25/2013,,OTHERS,0,5,0,1812499,0,,,,,2015-04-23,2018-05-01,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,0,
